x,Australia_m_15-34,Australia_m_35-64,Australia_m_65+,Australia_w_15-34,Australia_w_35-64,Australia_w_65+,Canada_m_15-34,Canada_m_35-64,Canada_m_65+,Canada_w_15-34,Canada_w_35-64,Canada_w_65+
51,-5.106470999643582e-4,-6.176134664598515e-4,-5.718933782878812e-4,8.152369634935752e-4,0.0011126493786000834,6.936520599766418e-4,-5.582677535787676e-4,-6.076370809001097e-4,-5.498113353426825e-4,7.179444198800349e-4,9.373049200944666e-4,5.343767697734406e-4
52,-4.6451692928808143e-4,-5.625606332339512e-4,-5.194737894680668e-4,8.265135878238924e-4,0.001132965055134469,6.995122265187099e-4,-5.075573053473272e-4,-5.526487692832544e-4,-4.982203656625601e-4,7.24049063792065e-4,9.497351870239162e-4,5.344239270692594e-4
53,-4.189495240085245e-4,-5.080440825580936e-4,-4.6783390143818947e-4,8.362703794629191e-4,0.0011513444758516171,7.040111230291996e-4,-4.5751685824245485e-4,-4.983490376846899e-4,-4.4761923553052446e-4,7.287452716872682e-4,9.604057292399597e-4,5.334021959352917e-4
54,-3.739317337126615e-4,-4.540502546304776e-4,-4.169559795753231e-4,8.446082811402378e-4,0.001167900790605046,7.072543642256549e-4,-4.0813100291372124e-4,-4.447218909394264e-4,-3.979847885407415e-4,7.321421456819629e-4,9.69435367390522e-4,5.314172022944969e-4
55,-3.2944906001601895e-4,-4.005638731396208e-4,-3.668208822955342e-4,8.516224485467402e-4,0.00118274131607636,7.093407274133791e-4,-3.5938289217590574e-4,-3.91749742034368e-4,-3.492927190523681e-4,7.3434173317545e-4,9.769360193722417e-4,5.28566412725499e-4
56,-2.854857089546491e-4,-3.4756799798870314e-4,-3.1740812988808486e-4,8.574025563096391e-4,0.0011959678120138644,7.103625597675183e-4,-3.112543021161728e-4,-3.394134757897889e-4,-3.0151765253129826e-4,7.354394465943815e-4,9.830130701833336e-4,5.24939707115525e-4
57,-2.4202463647681984e-4,-2.950440700689246e-4,-2.686959651339316e-4,8.620330898753289e-4,0.0012076767468321534,7.104061636164562e-4,-2.6372568548779595e-4,-2.8769250427260033e-4,-2.546332170569998e-4,7.355244604974584e-4,9.877657244122633e-4,5.206199139910315e-4
58,-1.9904758730731622e-4,-2.429719483396e-4,-2.2066140609179784e-4,8.655936236413676e-4,0.001217959552598674,7.095521606158771e-4,-2.167762177168559e-4,-2.3656481427580039e-4,-2.0861210649572687e-4,7.346800869526838e-4,9.912873418190709e-4,5.156833106578608e-4
59,-1.5653512740732044e-4,-1.9132993941478499e-4,-1.732802913758255e-4,8.681590857289093e-4,0.0012269028695119457,7.078758357201621e-4,-1.7038383579262077e-4,-1.8600700713869472e-4,-1.6342613577726396e-4,7.329841301177422e-4,9.936657565215294e-4,5.102000902098756e-4
60,-1.1446667020739032e-4,-1.4009481980310263e-4,-1.265273181952743e-4,8.698000098228219e-4,0.001234588780037893,7.054474618621942e-4,-1.2452527026175038e-4,-1.3599433112811932e-4,-1.190462886548866e-4,7.305092209590187e-4,9.949835803372891e-4,5.042347973845643e-4
61,-7.28204967492627e-5,-8.924185089813016e-5,-8.03760733778867e-5,8.70582774531466e-4,0.00124109503291869,7.023326062470934e-4,-7.917607050012504e-5,-8.650070655093981e-5,-7.544275827633005e-5,7.273231330394435e-4,9.953184908590516e-4,4.978467351588944e-4
62,-3.157376983320266e-5,-3.8744786770233273e-5,-3.479905755339481e-5,8.705698307335599e-4,0.0012464952573049762,6.98592419151978e-4,-3.4310623393000505e-5,-3.749874372155402e-5,-3.258498084617329e-5,7.234890802918575e-4,9.947435048550536e-4,4.910903438907415e-4
63,9.297457769192347e-6,1.1424125233607004e-5,1.0232297368513187e-5,8.698199173878224e-4,0.0012508591672895446,6.942839061046288e-4,1.0097834486299306e-5,1.10402461357585e-5,9.558337383586969e-6,7.190659976750587e-4,9.93327237594017e-4,4.84015554722326e-4
64,4.9818241012090686e-5,6.129415111839883e-5,5.474761733136991e-5,8.68388266283375e-4,0.0012542527571400952,6.894601842901649e-4,5.407721114756867e-5,5.914624701177121e-5,5.1019199598652826e-5,7.141088055854943e-4,9.911341486937822e-4,4.766681188734147e-4
65,9.001474619200457e-5,1.1089608417678927e-4,9.877758182010496e-5,8.663267962066956e-4,0.0012567384875420806,6.841707240079906e-4,9.765655989049442e-5,1.0685054126732615e-4,9.183030422538634e-5,7.086686588701139e-4,9.8822477508776e-4,4.6908991436470635e-4
66,1.2991426052708966e-4,1.6026226635238e-4,1.4235392608523138e-4,8.636842969948826e-4,0.0012583754631707792,6.78461575972003e-4,1.4086608646924067e-4,1.5418571986117226e-4,1.3202503693022984e-4,7.02793181255952e-4,9.846559516938956e-4,4.6131923162634865e-4
67,1.6954520777594646e-4,2.094266171936727e-4,1.855094499205821e-4,8.605066039363504e-4,0.0012592196019160693,6.723755852164754e-4,1.8373716277325926e-4,2.0118569973309966e-4,1.7163746872932183e-4,6.96526685980695e-4,9.804810203584997e-4,4.5339103936374293e-4
68,2.0893717000649355e-4,2.5842467060476095e-4,2.2827803304846392e-4,8.568367629690636e-4,0.0012593237960840515,6.659525923384504e-4,2.2630234711902932e-4,2.478857484648108e-4,2.1070236015624476e-4,6.899103833760974e-4,9.757500276322491e-4,4.45337231972781e-4
69,2.4812091566000306e-4,3.072936196434416e-4,2.706946572027421e-4,8.527151871139211e-4,0.0012587380658979686,6.592296227756148e-4,2.685954112843284e-4,2.943225163817403e-4,2.492551714696015e-4,6.829825761234539e-4,9.705099119190732e-4,4.371868597198973e-4
70,2.871284340908664e-4,3.560723696636858e-4,3.127954350375698e-4,8.48179804567153e-4,0.0012575097056168713,6.522410647867533e-4,3.1065137445438856e-4,3.405340763008789e-4,2.873320789156724e-4,6.757788428675982e-4,9.648046805206328e-4,4.289663428288715e-4
71,3.25992976799628e-4,4.04801600148057e-4,3.546176460278091e-4,8.432661988610417e-4,0.0012556834225848994,6.45018836770332e-4,3.525065442884659e-4,0.00038655997117320107,3.2496999709526436e-4,6.683322108435173e-4,9.586755770803057e-4,4.2069967054629966e-4
72,3.647491056155028e-4,4.535238356269994e-4,3.9619977956686117e-4,8.380077414871788e-4,0.0012533014695171349,6.37592544525763e-4,3.9419856535618587e-4,4.324412699148028e-4,3.622066075182094e-4,6.606733181378528e-4,9.521612399112639e-4,4.124085861910676e-4
73,4.0343274812548757e-4,5.022835261366025e-4,4.3758158550916615e-4,8.324357173611314e-4,0.0012504037703201644,6.299896290316882e-4,4.357664752360346e-4,4.782206317689052e-4,3.9908039346426687e-4,6.528305661764845e-4,9.452978516736971e-4,4.0411275913006397e-4
74,4.420812606905929e-4,5.511271377248991e-4,4.788041324483487e-4,8.265794434918717e-4,0.0012470280397368012,6.222355052862053e-4,4.7725076861390535e-4,5.239423795918671e-4,4.3563068130567074e-4,6.448302629992066e-4,9.381192808466144e-4,3.9582994456258515e-4
