region,year,gender,age_group,im,outcome,af_entire_1
Canada,2008,w,15-34,_44,Mortality,0.1692270173733196
Canada,2008,w,15-34,_45,Mortality,0.1692270173733196
Canada,2008,w,15-34,_46,Mortality,0.1692270173733196
Canada,2008,w,15-34,_47,Mortality,0.1692270173733196
Canada,2008,w,15-34,_54,Mortality,0.07560534141094846
Canada,2008,w,15-34,_64,Mortality,0.31543798275233287
Canada,2008,w,15-34,_71,Mortality,0.1818936843056462
Canada,2008,w,15-34,_81,Mortality,0.17970120839682902
Canada,2008,w,15-34,_82,Mortality,0.17970120839682902
Canada,2008,w,15-34,_83,Mortality,0.17970120839682902
Canada,2008,w,15-34,_84,Mortality,0.17970120839682902
Canada,2008,w,15-34,_85,Mortality,0.17970120839682902
Canada,2008,w,15-34,_86,Mortality,0.17970120839682902
Canada,2008,w,15-34,_91,Mortality,0.2253722400547031
Canada,2008,w,15-34,_92,Mortality,0.2253722400547031
Canada,2008,w,15-34,_93,Mortality,0.2253722400547031
Canada,2008,w,15-34,_94,Mortality,0.2253722400547031
Canada,2008,w,15-34,_95,Mortality,0.2253722400547031
Canada,2009,m,15-34,_12,Morbidity,0.06567603737866017
Canada,2009,m,15-34,_23,Morbidity,0.22739388527947083
Canada,2009,m,15-34,_24,Morbidity,0.18959129148582957
Canada,2009,m,15-34,_25,Morbidity,0.08411367107177622
Canada,2009,m,15-34,_31,Morbidity,0.02960969592107516
Canada,2009,m,15-34,_51,Morbidity,0.23177920535991367
Canada,2009,m,15-34,_52,Morbidity,0.04694733208997483
Canada,2009,m,15-34,_55,Morbidity,0.21604546249900572
Canada,2009,m,15-34,_56,Morbidity,0.02010132244604237
Canada,2009,m,15-34,_57,Morbidity,0.49339131064404024
Canada,2009,m,15-34,_62,Morbidity,0.49339131064404024
Canada,2009,m,15-34,_63,Morbidity,0.37857079005949557
Canada,2009,m,15-34,_12,Mortality,0.06567603737866017
Canada,2009,m,15-34,_23,Mortality,0.22739388527947083
Canada,2009,m,15-34,_24,Mortality,0.18959129148582957
Canada,2009,m,15-34,_25,Mortality,0.08411367107177622
Canada,2009,m,15-34,_31,Mortality,0.02960969592107516
Canada,2009,m,15-34,_51,Mortality,0.23177920535991367
Canada,2009,m,15-34,_52,Mortality,0.07051237697804627
Canada,2009,m,15-34,_55,Mortality,0.19538054658142742
Canada,2009,m,15-34,_56,Mortality,0.028303887111902994
Canada,2009,m,15-34,_57,Mortality,0.7311636451965472
Canada,2009,m,15-34,_62,Mortality,0.7311636451965472
Canada,2009,m,15-34,_63,Mortality,0.37857079005949557
Canada,2009,m,15-34,_11,Morbidity,0.48101660708557886
Canada,2009,m,15-34,_13,Morbidity,0.12265245993019579
Canada,2009,m,15-34,_21,Morbidity,0.5628565498098644
Canada,2009,m,15-34,_22,Morbidity,0.5746590195909772
Canada,2009,m,15-34,_26,Morbidity,0.351046450982742
Canada,2009,m,15-34,_44,Morbidity,0.3265325020314734
Canada,2009,m,15-34,_45,Morbidity,0.3265325020314734
Canada,2009,m,15-34,_46,Morbidity,0.3265325020314734
Canada,2009,m,15-34,_47,Morbidity,0.3265325020314734
Canada,2009,m,15-34,_54,Morbidity,0.14934219078432476
Canada,2009,m,15-34,_64,Morbidity,0.5024041192545591
Canada,2009,m,15-34,_71,Morbidity,0.280853739089396
Canada,2009,m,15-34,_81,Morbidity,0.27812002517769024
Canada,2009,m,15-34,_82,Morbidity,0.27812002517769024
Canada,2009,m,15-34,_83,Morbidity,0.27812002517769024
Canada,2009,m,15-34,_84,Morbidity,0.27812002517769024
Canada,2009,m,15-34,_85,Morbidity,0.27812002517769024
Canada,2009,m,15-34,_86,Morbidity,0.27812002517769024
Canada,2009,m,15-34,_91,Morbidity,0.3338312578603745
Canada,2009,m,15-34,_92,Morbidity,0.3338312578603745
Canada,2009,m,15-34,_93,Morbidity,0.3338312578603745
Canada,2009,m,15-34,_94,Morbidity,0.3338312578603745
Canada,2009,m,15-34,_95,Morbidity,0.3338312578603745
Canada,2009,m,15-34,_11,Mortality,0.48101660708557886
Canada,2009,m,15-34,_13,Mortality,0.12265245993019579
Canada,2009,m,15-34,_21,Mortality,0.5628565498098644
Canada,2009,m,15-34,_22,Mortality,0.5746590195909772
Canada,2009,m,15-34,_26,Mortality,0.351046450982742
Canada,2009,m,15-34,_44,Mortality,0.3265325020314734
Canada,2009,m,15-34,_45,Mortality,0.3265325020314734
Canada,2009,m,15-34,_46,Mortality,0.3265325020314734
Canada,2009,m,15-34,_47,Mortality,0.3265325020314734
Canada,2009,m,15-34,_54,Mortality,0.14934219078432476
Canada,2009,m,15-34,_64,Mortality,0.5024041192545591
Canada,2009,m,15-34,_71,Mortality,0.280853739089396
Canada,2009,m,15-34,_81,Mortality,0.27812002517769024
Canada,2009,m,15-34,_82,Mortality,0.27812002517769024
Canada,2009,m,15-34,_83,Mortality,0.27812002517769024
Canada,2009,m,15-34,_84,Mortality,0.27812002517769024
Canada,2009,m,15-34,_85,Mortality,0.27812002517769024
Canada,2009,m,15-34,_86,Mortality,0.27812002517769024
Canada,2009,m,15-34,_91,Mortality,0.3338312578603745
Canada,2009,m,15-34,_92,Mortality,0.3338312578603745
Canada,2009,m,15-34,_93,Mortality,0.3338312578603745
Canada,2009,m,15-34,_94,Mortality,0.3338312578603745
Canada,2009,m,15-34,_95,Mortality,0.3338312578603745
Canada,2009,w,15-34,_12,Morbidity,0.029204946367735615
Canada,2009,w,15-34,_23,Morbidity,0.04205088936968464
Canada,2009,w,15-34,_24,Morbidity,0.17338057501251608
Canada,2009,w,15-34,_25,Morbidity,0.03442762218792674
Canada,2009,w,15-34,_27,Morbidity,0.13796462645664032
Canada,2009,w,15-34,_31,Morbidity,-0.1960104044423997
Canada,2009,w,15-34,_51,Morbidity,0.09828657727672155
Canada,2009,w,15-34,_52,Morbidity,-0.12639553166695236
Canada,2009,w,15-34,_55,Morbidity,-0.09841732798614339
Canada,2009,w,15-34,_56,Morbidity,-0.043177557111300516
Canada,2009,w,15-34,_57,Morbidity,0.5811525737424648
Canada,2009,w,15-34,_62,Morbidity,0.5811525737424648
Canada,2009,w,15-34,_63,Morbidity,0.1390085579310373
Canada,2009,w,15-34,_12,Mortality,0.029204946367735615
Canada,2009,w,15-34,_23,Mortality,0.04205088936968464
Canada,2009,w,15-34,_24,Mortality,0.17338057501251608
Canada,2009,w,15-34,_25,Mortality,0.03442762218792674
Canada,2009,w,15-34,_27,Mortality,0.13796462645664032
Canada,2009,w,15-34,_31,Mortality,-0.1960104044423997
Canada,2009,w,15-34,_51,Mortality,0.09828657727672155
Canada,2009,w,15-34,_52,Mortality,0.11168598011502942
Canada,2009,w,15-34,_55,Mortality,0.22367768704774388
Canada,2009,w,15-34,_56,Mortality,-0.05846696352362081
Canada,2009,w,15-34,_57,Mortality,0.7155826364789374
Canada,2009,w,15-34,_62,Mortality,0.7155826364789374
Canada,2009,w,15-34,_63,Mortality,0.1390085579310373
Canada,2009,w,15-34,_11,Morbidity,0.2573572830810461
Canada,2009,w,15-34,_13,Morbidity,0.0607337027729089
Canada,2009,w,15-34,_21,Morbidity,0.33533625606792566
Canada,2009,w,15-34,_22,Morbidity,0.38395865954829134
Canada,2009,w,15-34,_26,Morbidity,0.19672183362729548
Canada,2009,w,15-34,_44,Morbidity,0.16719262756420974
Canada,2009,w,15-34,_45,Morbidity,0.16719262756420974
Canada,2009,w,15-34,_46,Morbidity,0.16719262756420974
Canada,2009,w,15-34,_47,Morbidity,0.16719262756420974
Canada,2009,w,15-34,_54,Morbidity,0.07470451558919282
Canada,2009,w,15-34,_64,Morbidity,0.31243551249698287
Canada,2009,w,15-34,_71,Morbidity,0.18058777652958313
Canada,2009,w,15-34,_81,Morbidity,0.17840422355177402
Canada,2009,w,15-34,_82,Morbidity,0.17840422355177402
Canada,2009,w,15-34,_83,Morbidity,0.17840422355177402
Canada,2009,w,15-34,_84,Morbidity,0.17840422355177402
Canada,2009,w,15-34,_85,Morbidity,0.17840422355177402
Canada,2009,w,15-34,_86,Morbidity,0.17840422355177402
Canada,2009,w,15-34,_91,Morbidity,0.22390302601254056
Canada,2009,w,15-34,_92,Morbidity,0.22390302601254056
Canada,2009,w,15-34,_93,Morbidity,0.22390302601254056
Canada,2009,w,15-34,_94,Morbidity,0.22390302601254056
Canada,2009,w,15-34,_95,Morbidity,0.22390302601254056
Canada,2009,w,15-34,_11,Mortality,0.2573572830810461
Canada,2009,w,15-34,_13,Mortality,0.0607337027729089
Canada,2009,w,15-34,_21,Mortality,0.33533625606792566
Canada,2009,w,15-34,_22,Mortality,0.38395865954829134
Canada,2009,w,15-34,_26,Mortality,0.19672183362729548
Canada,2009,w,15-34,_44,Mortality,0.16719262756420974
Canada,2009,w,15-34,_45,Mortality,0.16719262756420974
Canada,2009,w,15-34,_46,Mortality,0.16719262756420974
Canada,2009,w,15-34,_47,Mortality,0.16719262756420974
Canada,2009,w,15-34,_54,Mortality,0.07470451558919282
Canada,2009,w,15-34,_64,Mortality,0.31243551249698287
Canada,2009,w,15-34,_71,Mortality,0.18058777652958313
Canada,2009,w,15-34,_81,Mortality,0.17840422355177402
Canada,2009,w,15-34,_82,Mortality,0.17840422355177402
Canada,2009,w,15-34,_83,Mortality,0.17840422355177402
Canada,2009,w,15-34,_84,Mortality,0.17840422355177402
Canada,2009,w,15-34,_85,Mortality,0.17840422355177402
Canada,2009,w,15-34,_86,Mortality,0.17840422355177402
Canada,2009,w,15-34,_91,Mortality,0.22390302601254056
Canada,2009,w,15-34,_92,Mortality,0.22390302601254056
Canada,2009,w,15-34,_93,Mortality,0.22390302601254056
Canada,2009,w,15-34,_94,Mortality,0.22390302601254056
Canada,2009,w,15-34,_95,Mortality,0.22390302601254056
Canada,2010,m,15-34,_12,Morbidity,0.06482353034873092
Canada,2010,m,15-34,_23,Morbidity,0.22604768395769953
Canada,2010,m,15-34,_24,Morbidity,0.1884523652731705
Canada,2010,m,15-34,_25,Morbidity,0.0836134984188425
Canada,2010,m,15-34,_31,Morbidity,0.029372024765550363
Canada,2010,m,15-34,_51,Morbidity,0.23073772976916562
Canada,2010,m,15-34,_52,Morbidity,0.046538673777816696
Canada,2010,m,15-34,_55,Morbidity,0.2145560315458613
Canada,2010,m,15-34,_56,Morbidity,0.019239588781569165
Canada,2010,m,15-34,_57,Morbidity,0.4908525456083403
